cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,time
K100,P16,,noclamp,2,11.65,17,0.0,2.13,0,0,0,0,0,0,15.0,,0,45.1
turan_n162,P16,2647,default,0,7.654,8,1.18,5.95,3,107,0,0,0,0,14.0,,0,60.4
turan_n162,P16,2647,default,1,7.654,8,1.09,6.08,3,107,0,0,0,0,14.0,,0,60.2
turan_n162,P16,2647,default,2,7.654,8,0.69,6.1,3,107,0,0,0,0,14.0,,0,60.2
turan_n162,P16,2647,noclamp,0,7.654,8,0.56,5.83,3,107,0,0,0,0,14.0,,0,60.2
turan_n162,P16,2647,noclamp,1,7.654,8,1.03,5.9,3,107,0,0,0,0,14.0,,0,60.3
turan_n162,P16,2647,noclamp,2,7.654,8,0.59,6.23,3,107,0,0,0,0,14.0,,0,60.1
ws_n486,P16,17188,default,0,3.412,12,0.37,29.51,52,825,24,0,0,0,22.0,,0,60.0
ws_n486,P16,17188,default,1,3.776,14,0.15,29.77,54,855,25,0,0,0,22.0,,0,60.0
ws_n486,P16,17188,default,2,3.905,14,0.07,29.92,34,669,11,0,0,0,23.0,,0,60.0
ws_n486,P16,17188,noclamp,0,3.436,12,0.07,27.28,24,492,6,0,0,0,19.0,,0,60.0
ws_n486,P16,17188,noclamp,1,3.488,13,0.07,24.55,26,460,11,0,0,0,21.0,,1,60.0
ws_n486,P16,17188,noclamp,2,3.366,12,0.15,24.67,26,460,11,0,0,0,21.0,,1,60.0
