cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
regular_n316,Z12,13096,trivial,1,3.101,8,0.0,29.91,2,1275|79,,1354,0,1964,1355,0,28.41,1296,0,304,0,1,5,1826.0,31.0,False,0,2,2,False,60.1
regular_n316,Z12,13096,trivial,2,3.301,8,0.0,29.96,1,1258,,1258,0,1783,1259,0,28.37,1216,0,287,0,1,0,1865.0,32.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,landmark,0,3.278,9,0.0,29.92,1,1108,,1108,0,1801,1109,0,24.94,973,0,221,0,1,42,2349.0,36.0,False,0,16,18,False,60.0
regular_n316,Z12,13096,landmark,1,3.244,8,0.0,29.95,2,1154|8,,1162,0,2011,1163,0,23.85,973,0,267,0,1,42,2349.0,36.0,False,0,16,18,False,60.0
regular_n316,Z12,13096,landmark,2,3.396,9,0.0,29.95,1,1122,,1122,0,1834,1123,0,24.48,973,0,235,0,1,42,2349.0,36.0,False,0,16,18,False,60.0
regular_n316,Z12,13096,random,0,3.636,10,0.0,29.95,2,1238|2,,1240,0,1922,1241,0,28.88,1235,0,273,0,1,6,1955.0,32.0,False,0,3,3,False,60.1
regular_n316,Z12,13096,random,1,3.044,8,0.0,29.95,2,1220|55,,1275,0,2003,1276,0,29.65,1265,0,310,0,1,2,1978.0,29.0,False,1,3,1,False,60.1
regular_n316,Z12,13096,random,2,3.155,7,0.0,29.95,2,1374|106,,1480,0,1890,1481,0,26.31,1315,0,377,0,1,0,1937.0,35.0,True,0,0,0,True,60.0
ws_n486,Z12,17188,spectral,0,2.56,8,1.18,28.75,1,1072,,1072,0,670,1073,0,28.59,1070,0,0,0,1,294,2376.0,27.0,False,0,52,55,False,60.0
ws_n486,Z12,17188,spectral,1,2.609,9,1.33,28.61,1,887,,887,0,413,888,0,26.48,830,0,0,0,1,251,2428.0,30.0,False,0,33,48,False,60.0
ws_n486,Z12,17188,spectral,2,2.477,7,0.88,29.05,1,1009,,1009,0,492,1010,0,28.89,1001,0,0,0,1,334,2410.0,32.0,False,0,35,53,False,60.0
ws_n486,Z12,17188,spectral,3,2.733,9,0.88,29.08,1,1094,,1094,0,749,1095,0,28.72,1091,0,0,0,1,248,2371.0,27.0,False,0,42,50,False,60.1
ws_n486,Z12,17188,spectral,4,2.689,9,1.2,28.73,1,1051,,1051,0,575,1052,0,28.48,1049,0,0,0,1,293,2403.0,30.0,False,0,27,41,False,60.1
ws_n486,Z12,17188,spectral,5,2.932,10,0.84,29.08,1,1108,,1108,0,794,1109,0,28.19,1091,0,0,0,1,248,2371.0,27.0,False,0,42,50,False,60.0
