cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,width_x,width_y,pmiss,subm,time
honeycomb_200,Z12,32393,unb,1,1.09,2,0.08,4.16,7,116,2,0,0,0,9.0,False,1,8,11,0,False,45.8
honeycomb_200,Z12,32393,unb,2,1.13,2,0.1,4.05,7,116,2,0,0,0,9.0,False,2,8,11,0,False,49.8
honeycomb_200,Z12,32393,both,0,1.11,2,0.09,4.3,7,116,2,0,0,0,9.0,False,0,8,11,0,False,25.9
honeycomb_200,Z12,32393,both,1,1.09,2,0.24,4.13,7,116,2,0,0,0,9.0,False,1,8,11,0,False,46.0
honeycomb_200,Z12,32393,both,2,1.13,2,0.18,4.12,7,116,2,0,0,0,9.0,False,2,8,11,0,False,49.1
king_graph_196,Z12,32622,default,0,1.49,3,0.03,5.94,6,226,2,0,0,0,6.0,False,0,,,,False,60.0
king_graph_196,Z12,32622,default,1,1.51,3,0.03,5.98,6,226,2,0,0,0,6.0,False,1,,,,False,60.0
king_graph_196,Z12,32622,default,2,1.464,2,0.03,5.96,6,226,2,0,0,0,6.0,False,0,,,,False,60.0
king_graph_196,Z12,32622,subm,0,1.49,3,0.03,5.97,6,226,2,0,0,0,6.0,False,0,,,,False,60.0
king_graph_196,Z12,32622,subm,1,1.51,3,0.03,6.01,6,226,2,0,0,0,6.0,False,1,,,,False,60.0
king_graph_196,Z12,32622,subm,2,1.464,2,0.03,5.94,6,226,2,0,0,0,6.0,False,0,,,,False,60.0
king_graph_196,Z12,32622,unb,0,1.832,4,0.03,7.89,6,271,2,0,0,0,8.0,False,15,8,14,0,False,60.0
king_graph_196,Z12,32622,unb,1,1.735,4,0.03,7.89,6,271,2,0,0,0,8.0,False,6,8,14,0,False,60.0
king_graph_196,Z12,32622,unb,2,1.607,3,0.03,7.92,6,271,2,0,0,0,8.0,False,2,8,14,0,False,60.0
king_graph_196,Z12,32622,both,0,1.832,4,0.03,7.91,6,271,2,0,0,0,8.0,False,15,8,14,0,False,60.0
king_graph_196,Z12,32622,both,1,1.735,4,0.03,7.98,6,271,2,0,0,0,8.0,False,6,8,14,0,False,60.0
king_graph_196,Z12,32622,both,2,1.607,3,0.03,7.78,6,271,2,0,0,0,8.0,False,2,8,14,0,False,60.0
K100,P16,,default,0,11.23,16,0.0,0.89,0,0,0,0,0,0,15.0,,0,,,,False,26.1
K100,P16,,default,1,11.51,17,0.0,0.83,0,0,0,0,0,0,15.0,,0,,,,False,25.5
K100,P16,,default,2,11.65,17,0.0,0.82,0,0,0,0,0,0,15.0,,0,,,,False,51.5
K100,P16,,subm,0,11.23,16,0.0,0.84,0,0,0,0,0,0,15.0,,0,,,,False,26.5
K100,P16,,subm,1,11.51,17,0.0,0.82,0,0,0,0,0,0,15.0,,0,,,,False,25.1
