pid,gkey,n,method,eseed,acl,maxchain,chain_rel,mean_e,best_e,chainbreak,gs,p_gs,resid
5,ER_n24_d0.5_g2,24,minorminer,1,2.5833333333333335,3,1.5,-56.22,-64.0,0.1063,-64.0,0.186,0.1216
5,ER_n24_d0.5_g2,24,minorminer-layout,0,2.9166666666666665,4,0.75,-53.848,-64.0,0.247,-64.0,0.164,0.1586
5,ER_n24_d0.5_g2,24,minorminer-layout,0,2.9166666666666665,4,1.0,-57.128,-64.0,0.1721,-64.0,0.35,0.1074
5,ER_n24_d0.5_g2,24,minorminer-layout,0,2.9166666666666665,4,1.5,-59.472,-64.0,0.1037,-64.0,0.208,0.0707
5,ER_n24_d0.5_g2,24,minorminer-layout,1,2.75,4,0.75,-47.376,-60.0,0.2535,-64.0,0.0,0.2598
5,ER_n24_d0.5_g2,24,minorminer-layout,1,2.75,4,1.0,-54.552,-60.0,0.183,-64.0,0.0,0.1476
5,ER_n24_d0.5_g2,24,minorminer-layout,1,2.75,4,1.5,-57.996,-62.0,0.066,-64.0,0.0,0.0938
5,ER_n24_d0.5_g2,24,reweave,0,2.7083333333333335,4,0.75,-47.184,-60.0,0.3049,-64.0,0.0,0.2628
5,ER_n24_d0.5_g2,24,reweave,0,2.7083333333333335,4,1.0,-46.712,-60.0,0.2722,-64.0,0.0,0.2701
5,ER_n24_d0.5_g2,24,reweave,0,2.7083333333333335,4,1.5,-51.388,-60.0,0.1802,-64.0,0.0,0.1971
5,ER_n24_d0.5_g2,24,reweave,1,2.5833333333333335,3,0.75,-51.988,-60.0,0.2478,-64.0,0.0,0.1877
