source,target,algorithm,n,n_seeds,n_success,n_instances,success_rate,acl_mean,acl_ci,acl_std,maxchain_mean,qubits_mean,time_mean,time_mean_ok,time_std,problem_nodes,problem_edges
REGk6_n480,zephyr15_broken,minorminer-layout,480,24,14,8,0.583,10.61,0.139,0.212,30.29,5092.6,149.759,125.307,38.871,480,1440
REGk6_n480,zephyr15_broken,mmfork-cuthill,480,24,0,0,0.0,,0.0,,,,184.452,,0.729,480,1440
REGk6_n480,zephyr15_broken,mmfork-cuthill-fast,480,24,0,0,0.0,,0.0,,,,182.912,,0.896,480,1440
REGk6_n480,zephyr15_broken,mmfork-portfolio,480,24,0,0,0.0,,0.0,,,,226.789,,5.19,480,1440
REGk6_n480,zephyr15_broken,reweave,480,24,6,5,0.25,10.255,0.16,0.17,30.67,4922.5,156.179,77.683,45.495,480,1440
REGk6_n480,zephyr15_broken,reweave-mmfork-cuthill,480,24,0,0,0.0,,0.0,,,,182.017,,0.417,480,1440
REGk6_n480,zephyr15_broken,reweave-thorough,480,24,0,0,0.0,,0.0,,,,181.931,,0.416,480,1440
REGk6_n80,pegasus16_broken,minorminer,80,24,24,8,1.0,3.308,0.073,0.202,6.21,264.6,1.681,1.681,0.346,80,240
REGk6_n80,pegasus16_broken,minorminer-layout,80,24,24,8,1.0,3.302,0.094,0.195,5.96,264.2,2.376,2.376,0.622,80,240
REGk6_n80,pegasus16_broken,mmfork-cuthill,80,24,24,8,1.0,3.418,0.118,0.208,6.46,273.4,1.729,1.729,0.592,80,240
REGk6_n80,pegasus16_broken,mmfork-cuthill-fast,80,24,24,8,1.0,3.418,0.118,0.208,6.46,273.4,1.731,1.731,0.577,80,240
REGk6_n80,pegasus16_broken,mmfork-portfolio,80,24,24,8,1.0,3.115,0.06,0.121,5.75,249.2,9.997,9.997,1.729,80,240
REGk6_n80,pegasus16_broken,reweave,80,24,24,8,1.0,3.255,0.069,0.19,6.08,260.4,1.727,1.727,0.359,80,240
REGk6_n80,pegasus16_broken,reweave-mmfork-cuthill,80,24,24,8,1.0,3.364,0.113,0.202,6.38,269.1,1.971,1.971,0.686,80,240
REGk6_n80,pegasus16_broken,reweave-thorough,80,24,24,8,1.0,3.074,0.027,0.105,5.58,245.9,7.014,7.014,1.189,80,240
REGk6_n80,zephyr15_broken,minorminer,80,24,24,8,1.0,2.717,0.057,0.108,5,217.3,1.527,1.527,0.451,80,240
REGk6_n80,zephyr15_broken,minorminer-layout,80,24,24,8,1.0,2.808,0.06,0.166,5.04,224.6,2.705,2.705,0.809,80,240
REGk6_n80,zephyr15_broken,mmfork-cuthill,80,24,24,8,1.0,2.744,0.064,0.173,5,219.5,1.922,1.922,0.605,80,240
REGk6_n80,zephyr15_broken,mmfork-cuthill-fast,80,24,24,8,1.0,2.744,0.064,0.173,5,219.5,1.707,1.707,0.567,80,240
REGk6_n80,zephyr15_broken,mmfork-portfolio,80,24,24,8,1.0,2.581,0.048,0.097,4.62,206.5,10.518,10.518,1.812,80,240
REGk6_n80,zephyr15_broken,reweave,80,24,24,8,1.0,2.666,0.054,0.099,5,213.2,1.828,1.828,0.42,80,240
REGk6_n80,zephyr15_broken,reweave-mmfork-cuthill,80,24,24,8,1.0,2.699,0.066,0.164,4.96,215.9,1.985,1.985,0.712,80,240
REGk6_n80,zephyr15_broken,reweave-thorough,80,24,24,8,1.0,2.529,0.031,0.088,4.71,202.3,7.736,7.736,1.34,80,240
