source,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.5,zephyr_4,reweave,0,1,1,1.95,3,39,0.15688787500039325,20,103
ER_n20_d0.5,zephyr_4,reweave,1,1,1,1.95,3,39,0.08842666599957738,20,103
ER_n20_d0.5,zephyr_4,reweave,2,1,1,2.0,3,40,0.13748866600144538,20,103
ER_n20_d0.5,zephyr_4,reweave,3,1,1,2.0,3,40,0.138905915999203,20,103
ER_n20_d0.5,zephyr_4,reweave,4,1,1,1.9,3,38,0.1169625830007135,20,103
ER_n20_d0.5,zephyr_4,reweave-thorough,0,1,1,1.85,3,37,0.45026175000020885,20,103
ER_n20_d0.5,zephyr_4,reweave-thorough,1,1,1,1.8,3,36,0.4860649590009416,20,103
ER_n20_d0.5,zephyr_4,reweave-thorough,2,1,1,1.85,3,37,0.44572320800216403,20,103
ER_n20_d0.5,zephyr_4,reweave-thorough,3,1,1,1.8,3,36,0.4420923750003567,20,103
ER_n20_d0.5,zephyr_4,reweave-thorough,4,1,1,1.85,3,37,0.47740362499826006,20,103
ER_n20_d0.5,zephyr_4,reweave-stacked,0,1,1,1.9,3,38,0.15907966600207146,20,103
ER_n20_d0.5,zephyr_4,reweave-stacked,1,1,1,3.25,6,65,0.18383366700072656,20,103
ER_n20_d0.5,zephyr_4,reweave-stacked,2,1,1,1.9,3,38,0.15557258400076535,20,103
ER_n20_d0.5,zephyr_4,reweave-stacked,3,1,1,1.8,3,36,0.20810954199987464,20,103
ER_n20_d0.5,zephyr_4,reweave-stacked,4,1,1,1.95,3,39,0.13128070900347666,20,103
ER_n20_d0.7,pegasus_6,minorminer,0,1,1,2.5,3,50,0.22312808299830067,20,142
ER_n20_d0.7,pegasus_6,minorminer,1,1,1,2.65,3,53,0.08712650000234134,20,142
ER_n20_d0.7,pegasus_6,minorminer,2,1,1,2.6,3,52,0.1207147499990242,20,142
ER_n20_d0.7,pegasus_6,minorminer,3,1,1,2.5,3,50,0.2302114160011115,20,142
ER_n20_d0.7,pegasus_6,minorminer,4,1,1,2.7,4,54,0.10467558399977861,20,142
ER_n20_d0.7,pegasus_6,minorminer-layout,0,1,1,2.5,3,50,0.1809907499991823,20,142
ER_n20_d0.7,pegasus_6,minorminer-layout,1,1,1,2.45,3,49,0.23673512499954086,20,142
ER_n20_d0.7,pegasus_6,minorminer-layout,2,1,1,2.5,3,50,0.15769762500349316,20,142
