topo,n,p,inst_seed,arm,algo_seed,budget,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,180,0.1,103,audit1,4,60.0,SUCCESS,1,17.2778,16.2833,40,3110,31.7768,1609,
P16,180,0.1,103,stock,4,60.0,SUCCESS,1,16.9278,15.7833,30,3047,31.7777,1609,
P16,180,0.1,103,stock,4,180.0,SUCCESS,1,16.9278,15.7833,30,3047,31.2426,1609,
P16,180,0.1,103,dirty,3,60.0,SUCCESS,1,16.3278,15.3611,29,2939,43.5388,1609,
P16,180,0.1,104,stock,1,15.0,SUCCESS,1,17.4,16.2,31,3132,15.3861,1624,
P16,180,0.1,103,dirty,4,180.0,SUCCESS,1,16.9278,15.7833,30,3047,31.567,1609,
P16,180,0.1,103,audit1,4,180.0,SUCCESS,1,17.2778,16.2833,40,3110,32.2998,1609,
P16,180,0.1,103,stock,3,180.0,SUCCESS,1,16.3278,15.3611,29,2939,43.3193,1609,
P16,180,0.1,103,audit1,1,60.0,SUCCESS,1,15.9833,15.2389,35,2877,60.6012,1609,
P16,180,0.1,104,audit1,1,15.0,SUCCESS,1,17.6889,16.7556,40,3184,15.5895,1624,
P16,180,0.1,104,audit2,1,15.0,SUCCESS,1,17.8333,16.7167,36,3210,15.3413,1624,
