topo,n,p,inst_seed,arm,base_seed,K,per_run_s,status,success,n_success,acl,acl_spur,max_chain,qubits,time,err
Z12,100,0.3,103,mm-bo3x20,1,3,20.0,SUCCESS,1,3,9.35,8.89,14,935,56.2898,
Z12,100,0.3,102,mm-bo12x5,4,12,5.0,SUCCESS,1,12,10.31,9.52,17,1031,63.1613,
Z12,100,0.3,104,mm-bo1x60,1,1,60.0,SUCCESS,1,1,8.91,8.28,14,891,35.5224,
Z12,100,0.3,103,mm-bo3x20,2,3,20.0,SUCCESS,1,3,9.6,8.76,15,960,51.335,
Z12,100,0.3,103,mm-bo3x20,3,3,20.0,SUCCESS,1,3,8.83,8.39,14,883,49.6576,
Z12,100,0.3,103,mm-bo6x10,0,6,10.0,SUCCESS,1,6,9.54,8.99,15,954,61.3912,
Z12,100,0.3,104,mm-bo1x60,4,1,60.0,SUCCESS,1,1,9.2,8.54,14,920,27.0063,
Z12,100,0.3,103,mm-bo12x5,0,12,5.0,SUCCESS,1,12,10.1,9.24,17,1010,62.398,
Z12,100,0.3,104,mm-bo3x20,0,3,20.0,SUCCESS,1,3,9.25,8.57,14,925,44.779,
Z12,100,0.3,105,mm-bo1x60,1,1,60.0,SUCCESS,1,1,9.3,8.82,14,930,18.483,
Z12,100,0.3,103,mm-bo6x10,1,6,10.0,SUCCESS,1,6,9.56,8.95,16,956,61.6975,
Z12,100,0.3,103,mm-bo12x5,1,12,5.0,SUCCESS,1,12,10.83,10.02,17,1083,63.2015,
Z12,100,0.3,105,mm-bo1x60,3,1,60.0,SUCCESS,1,1,9.05,8.49,14,905,16.9244,
Z12,100,0.3,103,mm-bo6x10,2,6,10.0,SUCCESS,1,6,9.76,9.14,16,976,61.251,
Z12,100,0.3,105,mm-bo1x60,4,1,60.0,SUCCESS,1,1,9.92,9.39,16,992,14.9856,
Z12,100,0.3,103,mm-bo12x5,2,12,5.0,SUCCESS,1,12,10.37,9.45,19,1037,63.2444,
Z12,100,0.3,103,mm-bo3x20,4,3,20.0,SUCCESS,1,3,9.4,8.78,16,940,57.4499,
Z12,100,0.3,103,mm-bo6x10,3,6,10.0,SUCCESS,1,6,9.86,9.12,17,986,61.795,
Z12,100,0.3,105,mm-bo1x60,2,1,60.0,SUCCESS,1,1,9.41,8.86,15,941,25.1577,
Z12,100,0.3,103,mm-bo12x5,3,12,5.0,SUCCESS,1,12,10.2,9.54,18,1020,62.9543,
Z12,100,0.3,104,mm-bo3x20,1,3,20.0,SUCCESS,1,3,8.92,8.45,14,892,53.0967,
Z12,100,0.3,103,mm-bo6x10,4,6,10.0,SUCCESS,1,6,9.64,8.93,16,964,61.5959,
