topo,n,p,inst_seed,assignment,status,acl_pre,acl_spur,obj_sim,qubits,time,detail,err
Z12,100,0.3,101,shipped,SUCCESS,8.0,7.4,739,740,0.1104,"{""seed_order"":""cuthill"",""obj_seed"":754,""obj_final"":739,""complete_skip"":false}",
Z12,100,0.3,101,rand-00,SUCCESS,8.0,7.75,774,775,0.0251,,
Z12,100,0.3,101,rand-01,SUCCESS,8.0,7.72,781,772,0.0262,,
Z12,100,0.3,101,rand-02,SUCCESS,8.0,7.81,782,781,0.0167,,
Z12,100,0.3,101,rand-03,SUCCESS,8.0,7.74,777,774,0.0268,,
Z12,100,0.3,101,rand-04,SUCCESS,8.0,7.78,781,778,0.0289,,
Z12,100,0.3,101,rand-05,SUCCESS,8.0,7.72,778,772,0.0182,,
Z12,100,0.3,101,rand-06,SUCCESS,8.0,7.66,772,766,0.0269,,
Z12,100,0.3,101,rand-07,SUCCESS,8.0,7.7,775,770,0.0251,,
Z12,100,0.3,101,rand-08,SUCCESS,8.0,7.7,776,770,0.0266,,
Z12,100,0.3,101,rand-09,SUCCESS,8.0,7.73,777,773,0.0316,,
Z12,100,0.3,101,rand-10,SUCCESS,8.0,7.71,776,771,0.0308,,
Z12,100,0.3,101,rand-11,SUCCESS,8.0,7.8,782,780,0.0225,,
Z12,100,0.3,101,rand-12,SUCCESS,8.0,7.69,771,769,0.0255,,
Z12,100,0.3,101,rand-13,SUCCESS,8.0,7.65,773,765,0.0317,,
Z12,100,0.3,101,rand-14,SUCCESS,8.0,7.71,773,771,0.018,,
